Date,Open,High,Low,Close,Volume,Net Turnover,Market Cap
2015-01-02,493.0,504.76,493.0,503.3,6778320,3394668.54,231210.45
2015-01-05,502.48,507.5,494.38,498.98,9936924,4979911.17,229223.59
2015-01-06,495.0,496.25,483.53,488.55,9667316,4724458.5,224434.45
2015-01-07,491.25,493.69,487.5,490.89,7249879,3557161.73,225508.28
2015-01-08,496.4,499.25,487.5,493.36,13564990,6690160.13,226645.27
2015-01-09,495.03,527.25,478.26,518.61,44863542,22854389.76,238244.84
2015-01-12,523.0,529.8,518.75,528.99,12758828,6696516.1,243011.0
2015-01-13,526.95,526.95,518.75,522.23,8801152,4597373.95,239904.39
2015-01-14,524.63,533.25,523.15,532.16,9921306,5235637.76,244469.56
2015-01-15,533.8,538.2,528.06,533.56,8342491,4457910.78,245112.7
2015-01-16,537.0,540.0,528.0,529.58,6690897,3555858.18,243280.89
2015-01-19,530.0,533.09,523.65,525.63,4087705,2150712.83,241466.31
2015-01-20,526.75,533.25,525.36,531.05,6804504,3603258.37,243958.48
2015-01-21,532.88,543.99,529.5,542.48,8494830,4562627.58,249207.02
2015-01-22,543.7,550.75,540.33,549.11,9958441,5459951.1,252256.2
2015-01-23,550.0,556.25,541.28,553.76,9486371,5204623.87,254392.36
2015-01-27,555.25,555.25,532.53,534.13,13739839,7373022.21,245371.11
2015-01-28,537.5,538.7,532.58,536.14,13134295,7041040.9,246295.63
2015-01-29,536.25,537.48,531.9,536.38,15369281,8229076.48,246404.73
2015-01-30,540.38,540.64,531.74,535.48,10833643,5808066.05,245991.3
2015-02-02,535.38,538.0,531.51,534.21,8702580,4661957.63,245411.31
2015-02-03,534.21,534.99,525.5,530.23,5265906,2788217.09,243579.5
2015-02-04,534.98,537.5,531.6,535.71,5160040,2764378.37,246100.39
2015-02-05,537.7,555.0,537.0,548.45,11875936,6500911.62,251951.86
2015-02-06,551.25,561.95,547.13,557.63,7453661,4154533.89,256166.75
2015-02-09,550.0,563.5,550.0,562.23,6536810,3658597.38,258279.94
2015-02-10,560.75,574.5,560.25,569.58,8516845,4835242.5,261656.45
2015-02-11,570.13,573.3,564.06,571.21,5796998,3304008.96,262408.69
2015-02-12,570.75,580.49,568.25,577.8,6287536,3617897.22,265434.94
2015-02-13,574.9,581.68,571.5,574.03,5657467,3258571.78,263700.72
2015-02-16,570.08,576.73,566.31,569.69,6244248,3563751.17,261708.13
2015-02-18,572.64,576.24,564.54,574.13,8613689,4914856.96,263746.66
2015-02-19,573.5,583.5,573.01,581.18,9673541,5615938.56,266985.38
2015-02-20,582.13,584.0,569.23,570.78,6971567,4005441.28,262207.72
2015-02-23,575.0,577.3,562.03,566.4,5090488,2908460.8,260197.89
2015-02-24,569.75,573.99,564.4,568.2,6437676,3671313.92,261024.8
2015-02-25,572.23,583.7,570.0,579.4,6044972,3501281.79,266169.94
2015-02-26,576.88,577.25,561.35,564.53,6445719,3660544.0,259336.55
2015-02-27,568.73,570.16,562.88,566.44,7801042,4424491.01,260215.13
2015-02-28,568.69,576.98,564.05,574.11,3197350,1823319.94,263740.94
2015-03-02,575.75,577.13,569.51,572.93,7040931,4031020.8,263195.41
2015-03-03,572.5,575.74,569.58,574.46,4905574,2812587.01,263901.72
2015-03-04,575.0,578.48,562.98,568.66,4375247,2500652.8,261237.27
2015-03-05,566.76,574.69,558.34,561.9,5684916,3208455.42,258130.64
2015-03-09,564.75,564.75,544.75,547.51,7984756,4394234.88,251521.19
2015-03-10,549.53,551.74,540.05,549.5,6329916,3477001.22,252434.22
2015-03-11,548.53,560.0,542.28,545.55,6780912,3741231.87,250619.63
2015-03-12,544.75,556.61,544.25,554.58,5688513,3142073.09,254765.63
2015-03-13,556.25,557.5,548.1,555.1,6179684,3420086.78,255006.8
2015-03-16,552.64,570.5,552.64,566.66,6818662,3846441.98,260318.48
2015-03-17,566.66,569.88,554.31,560.13,5539262,3108539.9,257315.23
2015-03-18,563.63,565.71,555.64,557.38,4905520,2745099.78,256051.91
2015-03-19,558.65,562.25,555.69,557.61,6891771,3845130.24,256161.02
2015-03-20,560.25,567.23,558.24,564.36,6430924,3625697.54,259261.89
2015-03-23,563.25,568.75,556.38,558.36,5078723,2850217.98,256505.55
2015-03-24,558.73,563.35,551.5,552.86,6736563,3745965.82,253978.91
2015-03-25,555.73,557.29,550.19,554.78,6170912,3416298.24,254857.5
2015-03-26,552.0,553.73,533.0,536.59,15740767,8487760.9,246502.36
2015-03-27,541.0,556.18,540.75,550.54,10074174,5549434.88,252910.83
2015-03-30,551.4,560.0,548.73,557.0,4623088,2562452.99,255879.64
2015-03-31,561.25,568.41,551.09,554.59,8016376,4453316.1,254771.36
2015-04-01,549.73,549.88,539.43,543.49,6738457,3657560.06,249672.14
2015-04-06,544.75,546.18,540.1,544.55,7741752,4202294.27,250160.23
2015-04-07,543.75,545.7,534.5,539.88,8542189,4614786.05,248012.59
2015-04-08,545.63,551.23,543.26,550.14,10185530,5580179.46,252727.08
2015-04-09,552.85,554.73,546.1,553.75,10581548,5827671.55,254386.63
2015-04-10,552.55,559.5,552.55,558.49,7123744,3971279.87,256562.98
2015-04-13,559.5,561.0,554.03,559.7,4872336,2723274.24,257119.98
2015-04-15,559.13,561.25,548.76,553.43,6237727,3452862.72,254237.31
2015-04-16,555.5,557.75,540.13,548.66,9007853,4917165.06,252049.48
2015-04-17,545.01,548.74,538.36,544.81,6450345,3510786.56,250280.83
2015-04-20,544.0,545.0,528.79,533.04,12825324,6832298.5,244871.53
2015-04-21,537.0,538.78,530.03,535.65,8881648,4745571.33,246071.69
2015-04-22,537.76,538.75,524.49,534.43,12350868,6563482.62,245508.94
2015-04-23,537.18,537.5,528.0,530.5,11891800,6317195.78,243705.83
2015-04-24,533.98,537.55,495.0,498.8,43565452,22548140.03,229143.2
2015-04-27,500.0,500.5,487.03,496.16,19822739,9776102.4,227931.56
2015-04-28,495.5,495.5,488.0,490.23,10393394,5099538.43,225203.94
2015-04-29,490.23,493.0,484.49,490.29,8289014,4050550.27,225232.66
2015-04-30,490.0,491.25,483.08,485.56,13134327,6381450.75,223062.05
2015-05-04,489.88,500.0,487.48,498.28,13361458,6583671.81,228902.02
2015-05-05,500.0,500.93,488.01,490.69,9408468,4635544.06,225416.41
2015-05-06,493.75,493.75,478.83,480.51,10508463,5074233.86,220742.13
2015-05-07,480.5,491.78,477.5,486.0,6779984,3293172.48,223263.02
2015-05-08,489.5,491.89,486.31,489.49,5777646,2825994.5,224865.14
2015-05-11,491.25,500.0,488.05,498.41,4785536,2369955.84,228965.19
2015-05-12,498.41,498.65,485.5,486.78,8284807,4048763.14,223619.05
2015-05-13,487.94,491.23,482.13,489.18,7099012,3459239.94,224721.58
2015-05-14,490.0,490.2,477.0,483.7,6233844,3006959.1,222206.44
2015-05-15,483.75,491.65,483.08,490.44,5189317,2532866.56,225301.56
2015-05-18,492.5,499.73,490.4,498.26,6470008,3205766.14,228896.28
2015-05-19,496.83,508.93,496.5,505.59,10272025,5178250.75,232261.3
2015-05-20,510.0,513.0,508.4,511.83,5882131,3008337.15,235126.73
2015-05-21,512.23,515.48,509.31,512.11,10059361,5147155.46,235258.81
2015-05-22,511.0,512.89,507.53,511.61,6888858,3518585.6,235029.13
2015-05-25,512.63,514.14,501.76,504.2,4675808,2372348.16,231623.91
2015-05-26,505.0,507.86,500.54,501.83,3965001,1998042.11,230532.84
2015-05-27,501.75,502.25,488.75,492.13,8454622,4157452.29,226076.78
2015-05-28,493.8,508.0,493.8,504.15,10980540,5490996.74,231600.94
2015-05-29,501.21,514.11,500.25,505.79,18992950,9612868.61,232353.19
2015-06-01,508.2,516.0,505.81,511.95,5724892,2931284.99,235184.16
2015-06-02,512.03,513.78,501.25,502.16,4673163,2358331.9,230687.89
2015-06-03,504.55,509.86,502.0,505.23,5495742,2775067.9,232094.77
2015-06-04,507.5,513.75,503.15,507.01,7489501,3813250.3,232915.94
2015-06-05,507.5,511.0,502.04,502.91,6125819,3094883.33,231032.44
2015-06-08,505.0,506.16,496.75,500.01,6141079,3070768.9,229700.2
2015-06-09,500.94,501.91,495.75,498.03,7561664,3766911.23,228787.17
2015-06-10,497.5,509.84,496.25,506.63,6385777,3212123.14,232737.92
2015-06-11,508.99,511.19,498.76,499.41,9229510,4639906.82,229424.58
2015-06-12,501.25,506.39,488.88,493.76,9852973,4905085.44,226829.03
2015-06-15,488.48,499.4,484.0,495.23,5236373,2592486.91,227500.88
2015-06-16,497.18,501.5,492.5,499.68,5223392,2599482.88,229545.17
2015-06-17,505.5,510.5,496.1,497.85,6412068,3212615.17,228706.78
2015-06-18,502.8,503.98,497.9,500.98,3474391,1740163.46,230142.38
2015-06-19,505.15,505.2,496.55,497.68,6670391,3331553.79,228626.39
2015-06-22,502.45,514.38,498.5,511.93,5710812,2888003.33,235172.69
2015-06-23,512.5,513.7,499.08,500.2,6952116,3490994.43,229786.34
2015-06-24,507.5,507.5,495.6,497.55,7073694,3543930.88,228568.95
2015-06-25,499.6,501.75,493.83,495.23,7117394,3536892.16,227500.88
2015-06-26,499.5,505.8,499.05,502.63,5320231,2675854.59,230900.36
2015-06-29,493.5,499.75,491.25,495.08,5690611,2816829.7,227431.98
2015-06-30,495.0,496.73,490.0,492.18,6212467,3065047.3,226099.75
2015-07-01,494.5,502.5,493.0,498.7,6880852,3423647.74,229097.27
2015-07-02,499.5,500.7,492.53,494.0,4007568,1982777.6,226938.13
2015-07-03,494.0,496.5,491.0,495.15,2695306,1333778.43,227466.44
2015-07-06,492.5,494.0,487.5,491.65,4305602,2112607.74,225858.56
2015-07-07,492.5,495.0,489.5,490.25,3497418,1722475.9,225215.42
2015-07-08,489.5,489.5,477.4,478.75,7024178,3380333.82,219932.45
2015-07-09,478.75,483.0,467.03,469.0,8587772,4047609.09,215453.41
2015-07-10,474.05,476.05,466.33,468.75,7411522,3487806.72,215338.56
2015-07-13,470.5,477.5,467.03,475.08,6531699,3089416.45,218244.2
2015-07-14,477.5,486.75,472.75,485.63,5367019,2579856.13,223090.75
2015-07-15,485.0,492.98,484.0,492.0,4129566,2024840.45,226019.34
2015-07-16,493.85,495.75,489.75,494.53,3472903,1714518.02,227179.31
2015-07-17,495.5,502.25,494.55,500.93,3447944,1719615.23,230119.41
2015-07-20,500.7,505.4,493.7,500.63,4377136,2186285.82,229981.58
2015-07-21,517.5,574.5,517.5,556.33,38309767,21063364.61,255569.55
2015-07-22,552.5,556.0,538.33,551.58,12665545,6970413.57,253387.45
2015-07-23,551.98,558.5,545.0,549.0,7710748,4264915.2,252204.52
2015-07-24,547.78,553.23,541.55,543.8,4480302,2443352.06,249815.7
2015-07-27,543.45,543.98,530.23,532.65,6752244,3623721.47,244693.52
2015-07-28,534.25,538.0,527.13,531.43,8476522,4520496.13,244130.77
2015-07-29,537.0,546.0,532.5,542.7,7071334,3828008.19,249310.38
2015-07-30,545.0,545.0,529.0,535.0,11956598,6441243.65,245773.08
2015-07-31,539.28,540.68,530.0,538.53,7930938,4249228.8,247392.44
2015-08-03,539.0,546.0,534.48,539.48,7960938,4292139.01,247828.84
2015-08-04,539.0,539.48,525.5,528.63,9098968,4828549.63,242844.47
2015-08-05,531.0,545.0,530.98,543.18,4753432,2568814.08,249528.58
2015-08-06,547.0,552.75,538.5,543.48,7238186,3941508.86,249666.41
2015-08-07,539.75,550.5,539.25,547.8,4988058,2733064.45,251653.27
2015-08-10,549.0,553.18,533.5,543.0,3992754,2184169.73,249448.19
2015-08-11,549.4,558.45,547.85,554.58,7574338,4186948.1,254765.63
2015-08-12,557.5,574.5,555.5,572.2,10168440,5781512.19,262862.34
2015-08-13,573.5,583.43,527.78,579.0,9787960,5654927.87,265986.19
2015-08-14,582.5,584.35,571.55,574.63,5109022,2957892.61,263976.38
2015-08-17,575.0,576.73,561.25,571.08,3107409,1765591.17,262345.53
2015-08-18,575.0,588.85,575.0,582.18,4150410,2422305.02,267444.75
2015-08-19,585.0,593.1,581.4,587.78,6869459,4040513.54,270017.34
2015-08-20,579.5,584.25,564.0,567.28,8369040,4770761.22,260599.86
2015-08-21,570.45,580.48,558.75,574.95,10822142,6197560.83,264125.66
2015-08-24,554.98,561.5,539.3,546.03,14122554,7818945.54,250837.84
2015-08-25,550.0,559.5,522.25,542.83,13734951,7452313.6,249367.8
2015-08-26,544.9,548.5,529.5,532.3,11498212,6193033.22,244532.73
2015-08-27,544.0,550.05,539.03,541.4,15343392,8330972.16,248713.17
2015-08-28,550.8,562.45,550.8,555.53,7208755,4018120.19,255202.05
2015-08-31,567.43,567.43,541.25,547.2,9917064,5445048.32,251377.63
2015-09-01,545.0,557.3,541.0,544.5,9071550,4988708.86,250137.27
2015-09-02,549.0,557.5,545.0,549.73,11171728,6158267.9,252537.58
2015-09-03,555.08,556.0,546.25,549.68,8590458,4728763.9,252514.61
2015-09-04,551.5,555.5,533.5,536.98,7318820,3949456.64,246680.38
2015-09-07,542.48,542.5,527.5,529.38,5180939,2759194.37,243189.02
2015-09-08,531.0,537.0,526.15,529.4,5459496,2902178.56,243200.5
2015-09-09,543.55,549.8,536.0,544.35,9148664,4980040.7,250068.38
2015-09-10,542.45,545.75,530.5,540.23,8362927,4515821.57,248173.39
2015-09-11,545.78,553.2,542.75,545.38,9883719,5412265.98,250539.23
2015-09-14,549.5,552.0,541.33,549.88,6557016,3591310.85,252606.48
2015-09-15,549.7,551.6,544.08,549.6,5291886,2905803.78,252480.16
2015-09-16,554.0,554.88,549.15,550.83,7478172,4123798.27,253042.91
2015-09-18,555.9,558.95,549.53,552.23,11576771,6420302.34,253686.05
2015-09-21,550.0,554.43,546.25,552.33,4351195,2398899.46,253731.98
2015-09-22,557.5,567.98,550.55,553.73,9626899,5406316.03,254375.14
2015-09-23,553.73,563.18,548.73,558.13,4758211,2649467.65,256396.45
2015-09-24,556.75,576.35,555.0,570.28,13399145,7626004.99,261978.02
2015-09-28,569.98,571.43,550.5,552.78,9788375,5453974.53,253938.72
2015-09-29,551.0,566.7,548.75,560.93,8699292,4870966.78,257682.73
2015-09-30,567.2,584.48,562.98,580.98,9495610,5465842.69,266893.5
2015-10-01,584.95,598.88,580.0,586.53,10864301,6406992.38,269443.09
