Date,Open,High,Low,Close,Volume,Net Turnover,Market Cap
2015-01-02,199.67,201.46,198.82,199.1,7453760,1490461.18,286507.41
2015-01-05,198.98,200.3,196.53,196.92,10272622,2036781.18,283369.13
2015-01-06,195.61,196.28,187.06,187.98,18938967,3609133.06,270508.56
2015-01-07,188.21,193.09,188.19,192.08,21066230,4024972.03,276396.91
2015-01-08,193.38,194.01,188.89,189.32,20203986,3841574.14,272433.59
2015-01-09,190.75,193.81,189.98,193.42,13616375,2608740.86,278338.13
2015-01-12,193.47,193.58,189.22,191.18,10268731,1956662.02,275102.78
2015-01-13,191.78,192.22,188.97,189.57,10114801,1921106.82,272789.47
2015-01-14,189.53,190.43,186.88,187.72,11570026,2174912.51,270136.5
2015-01-15,188.86,195.85,188.86,194.31,17209676,3316204.03,279616.09
2015-01-16,193.36,196.73,191.57,195.54,19456447,3794307.33,281379.38
2015-01-19,195.65,199.2,193.08,197.78,13562668,2674972.16,284598.56
2015-01-20,198.19,203.6,197.6,203.04,13584382,2731470.34,292169.31
2015-01-21,203.47,204.91,200.56,203.87,17369513,3529238.53,293366.38
2015-01-22,203.51,203.97,197.74,198.7,24117650,4817156.1,285939.06
2015-01-23,200.1,201.86,197.18,199.41,18382341,3667065.09,286958.25
2015-01-27,200.75,201.61,197.97,199.89,18239375,3642848.51,287653.88
2015-01-28,199.23,204.55,199.23,203.89,19620300,3961282.05,293413.13
2015-01-29,203.95,210.11,203.9,208.96,36720623,7648230.4,300709.19
2015-01-30,209.1,209.38,204.37,205.78,22109855,4564055.55,296130.94
2015-02-02,205.96,206.82,203.63,204.16,19624962,4026871.3,293801.38
2015-02-03,205.32,211.53,205.32,210.8,17377683,3634896.38,303362.34
2015-02-04,211.14,212.2,208.17,208.83,14307836,3013388.29,300515.06
2015-02-05,210.44,211.32,206.31,207.68,12572082,2629035.26,298864.97
2015-02-06,207.77,209.1,203.02,204.58,9196862,1894667.65,294399.94
2015-02-09,202.62,206.4,200.55,201.61,8987267,1829748.35,290129.06
2015-02-10,201.9,203.36,193.65,198.3,13878907,2770793.98,285372.84
2015-02-11,199.2,203.42,198.53,202.51,9944298,2000218.37,291423.25
2015-02-12,204.15,205.49,199.48,204.41,8855030,1790499.46,294157.28
2015-02-13,205.5,207.03,204.39,206.29,7517115,1548392.96,296858.94
2015-02-16,206.55,207.79,202.35,202.98,12471486,2553974.78,292102.72
