Date,Open,High,Low,Close,Volume,Net Turnover,Market Cap
2015-01-02,1275.5,1295.48,1275.3,1289.73,925735,1188740.1,505236.88
2015-01-05,1290.5,1299.95,1262.33,1270.13,1754233,2248885.5,497558.78
2015-01-06,1264.55,1264.55,1220.0,1223.3,2423784,2989615.36,479215.53
2015-01-07,1235.0,1239.58,1203.73,1208.85,2636332,3208362.5,473554.91
2015-01-08,1221.2,1224.5,1210.28,1221.9,1565408,1905739.39,478667.13
2015-01-09,1227.5,1259.95,1225.0,1256.15,3197642,3981082.11,492084.19
2015-01-12,1258.5,1264.0,1240.13,1254.85,1596006,1993266.05,491574.94
2015-01-13,1260.0,1265.2,1240.05,1248.95,1468432,1842440.32,489263.66
2015-01-14,1258.0,1265.9,1250.25,1260.98,1787087,2249546.24,493974.34
2015-01-15,1266.5,1290.88,1261.63,1269.55,5009920,6390076.42,497333.53
2015-01-16,1271.85,1272.5,1242.15,1266.08,5293803,6647444.48,495972.22
2015-01-19,1268.0,1275.5,1251.5,1255.5,1135074,1427954.3,491829.56
2015-01-20,1260.0,1265.0,1241.63,1250.23,2058556,2572121.34,489763.13
2015-01-21,1261.0,1261.0,1244.13,1256.9,2310480,2897054.46,492378.0
2015-01-22,1258.25,1260.63,1247.75,1256.78,2113203,2651354.62,492329.03
2015-01-23,1257.0,1266.03,1248.05,1251.8,3150380,3949529.6,490380.13
2015-01-27,1256.18,1257.5,1244.78,1251.03,2738722,3426510.34,490076.53
2015-01-28,1251.5,1272.45,1251.45,1269.8,3121980,3948240.13,497431.44
2015-01-29,1269.0,1284.35,1256.45,1272.33,3734373,4727519.74,498420.59
2015-01-30,1280.35,1287.5,1235.0,1241.03,5817373,7257025.54,486159.13
2015-02-02,1241.0,1260.73,1231.03,1257.1,3181802,3978210.56,492456.34
2015-02-03,1255.83,1282.5,1253.55,1279.13,2345042,2973793.28,501084.44
2015-02-04,1284.0,1285.85,1251.05,1257.15,2245418,2832686.59,492475.94
2015-02-05,1260.0,1295.85,1259.5,1276.2,4530168,5794386.43,499938.59
2015-02-06,1276.5,1297.4,1275.43,1287.88,2136405,2754264.83,504512.16
2015-02-09,1280.75,1284.55,1250.0,1256.45,2076432,2628584.96,492201.72
2015-02-10,1255.0,1263.13,1216.5,1220.58,3799035,4699201.02,478148.06
2015-02-11,1227.53,1243.63,1223.63,1229.95,2937522,3626283.01,481820.63
2015-02-12,1239.9,1239.9,1223.5,1231.08,3107964,3826786.56,482261.31
2015-02-13,1235.0,1273.88,1230.13,1269.38,4158305,5215563.26,497264.97
2015-02-16,1280.0,1297.5,1277.5,1292.4,2364392,3046491.9,506284.78
2015-02-18,1292.53,1321.5,1282.63,1317.83,2660001,3464716.03,516244.78
2015-02-19,1318.0,1343.65,1317.5,1340.53,2617989,3482564.1,525137.25
2015-02-20,1349.4,1349.4,1321.13,1337.78,1801579,2407423.23,524059.97
2015-02-23,1335.5,1361.0,1335.5,1348.33,1614884,2181659.9,528192.81
2015-02-24,1347.0,1365.0,1339.5,1352.38,2199911,2980186.37,529779.38
2015-02-25,1355.0,1361.0,1333.93,1336.1,1767994,2381629.7,523403.81
2015-02-26,1339.5,1346.38,1312.68,1328.23,1991984,2644680.19,520318.88
2015-02-27,1329.73,1337.88,1308.15,1331.18,2877362,3809421.06,521474.5
2015-02-28,1338.5,1343.55,1321.5,1337.63,1178990,1572849.02,524001.22
2015-03-02,1339.85,1354.48,1326.28,1334.7,2176038,2899536.38,522855.38
2015-03-03,1341.0,1395.0,1338.08,1388.0,3424308,4705576.45,543735.13
2015-03-04,1394.0,1406.05,1357.83,1373.0,3862994,5336806.4,537859.0
2015-03-05,1375.0,1385.35,1340.53,1348.23,2173503,2949013.5,528153.69
2015-03-09,1320.0,1339.9,1305.0,1323.4,2883174,3816922.37,518428.72
2015-03-10,1324.45,1339.13,1297.63,1321.35,3037052,3997941.5,517625.66
2015-03-11,1321.0,1329.98,1298.9,1303.28,2240189,2937908.74,510544.94
2015-03-12,1311.95,1312.45,1295.05,1309.53,1827627,2382100.22,512993.31
2015-03-13,1319.0,1319.98,1287.5,1291.18,1586830,2058721.28,505804.88
